,Top Word,Work Top Ranking,# of Reviews w/Word,Review_ID,Rating,Year_Month,Reviewer_Location,Branch,location,temp_average,temp_low,temp_high,humid_average,humid_low,humid_high
0,disneyland,1,23319,670607296,4,2019-4,United Kingdom,Disneyland_HongKong,Hong Kong,78 ,68 ,90 ,77.0,55.0,94.0
1,disneyland,1,23319,670443403,5,2019-4,United States,Disneyland_HongKong,Hong Kong,78 ,68 ,90 ,77.0,55.0,94.0
2,disneyland,1,23319,666934099,5,2019-4,Singapore,Disneyland_HongKong,Hong Kong,78 ,68 ,90 ,77.0,55.0,94.0
3,disneyland,1,23319,666297074,5,2019-1,India,Disneyland_HongKong,Hong Kong,65 ,50 ,77 ,70.0,33.0,100.0
4,disneyland,1,23319,665163867,4,2019-4,Philippines,Disneyland_HongKong,Hong Kong,78 ,68 ,90 ,77.0,55.0,94.0
5,disneyland,1,23319,661807684,4,2018-12,India,Disneyland_HongKong,Hong Kong,66 ,50 ,82 ,71.0,29.0,100.0
6,disneyland,1,23319,659729489,4,2019-3,Indonesia,Disneyland_HongKong,Hong Kong,71 ,59 ,82 ,79.0,31.0,100.0
7,disneyland,1,23319,658181715,5,2019-3,Philippines,Disneyland_HongKong,Hong Kong,71 ,59 ,82 ,79.0,31.0,100.0
8,disneyland,1,23319,655933981,4,2019-2,India,Disneyland_HongKong,Hong Kong,69 ,55 ,82 ,78.0,49.0,100.0
9,disneyland,1,23319,651485228,4,2019-1,Indonesia,Disneyland_HongKong,Hong Kong,65 ,50 ,77 ,70.0,33.0,100.0
10,disneyland,1,23319,650782318,4,2018-10,Philippines,Disneyland_HongKong,Hong Kong,79 ,68 ,88 ,62.0,13.0,100.0
11,disneyland,1,23319,648754199,5,2019-1,Thailand,Disneyland_HongKong,Hong Kong,65 ,50 ,77 ,70.0,33.0,100.0
12,disneyland,1,23319,647569763,4,2018-2,United Arab Emirates,Disneyland_HongKong,Hong Kong,62 ,43 ,79 ,63.0,25.0,94.0
13,disneyland,1,23319,646207587,5,2018-12,Australia,Disneyland_HongKong,Hong Kong,66 ,50 ,82 ,71.0,29.0,100.0
14,disneyland,1,23319,644662728,4,2018-12,India,Disneyland_HongKong,Hong Kong,66 ,50 ,82 ,71.0,29.0,100.0
15,disneyland,1,23319,644198402,3,2019-1,Singapore,Disneyland_HongKong,Hong Kong,65 ,50 ,77 ,70.0,33.0,100.0
16,disneyland,1,23319,643162499,3,2018-12,Indonesia,Disneyland_HongKong,Hong Kong,66 ,50 ,82 ,71.0,29.0,100.0
17,disneyland,1,23319,642585839,4,2018-1,Australia,Disneyland_HongKong,Hong Kong,62 ,45 ,77 ,72.0,21.0,100.0
18,disneyland,1,23319,641925696,5,2018-11,Singapore,Disneyland_HongKong,Hong Kong,74 ,63 ,86 ,71.0,22.0,100.0
19,disneyland,1,23319,640946320,5,2018-1,South Africa,Disneyland_HongKong,Hong Kong,62 ,45 ,77 ,72.0,21.0,100.0
20,disneyland,1,23319,639119522,4,2018-12,Malaysia,Disneyland_HongKong,Hong Kong,66 ,50 ,82 ,71.0,29.0,100.0
21,disneyland,1,23319,632731756,5,2018-10,Philippines,Disneyland_HongKong,Hong Kong,79 ,68 ,88 ,62.0,13.0,100.0
22,disneyland,1,23319,631899580,5,2018-2,Indonesia,Disneyland_HongKong,Hong Kong,62 ,43 ,79 ,63.0,25.0,94.0
23,disneyland,1,23319,630622822,5,2018-10,Philippines,Disneyland_HongKong,Hong Kong,79 ,68 ,88 ,62.0,13.0,100.0
24,disneyland,1,23319,630507279,5,2018-10,India,Disneyland_HongKong,Hong Kong,79 ,68 ,88 ,62.0,13.0,100.0
25,disneyland,1,23319,621634137,5,2018-9,Indonesia,Disneyland_HongKong,Hong Kong,84 ,77 ,97 ,72.0,42.0,94.0
26,disneyland,1,23319,621574811,4,2018-4,Indonesia,Disneyland_HongKong,Hong Kong,75 ,59 ,86 ,71.0,20.0,94.0
27,disneyland,1,23319,618848461,5,2018-6,Singapore,Disneyland_HongKong,Hong Kong,85 ,77 ,95 ,75.0,38.0,100.0
28,disneyland,1,23319,617825096,3,2018-9,Malaysia,Disneyland_HongKong,Hong Kong,84 ,77 ,97 ,72.0,42.0,94.0
29,disneyland,1,23319,616527329,5,2017-10,United Arab Emirates,Disneyland_HongKong,Hong Kong,81 ,68 ,95 ,62.0,32.0,94.0
30,disneyland,1,23319,612931046,5,2018-5,Oman,Disneyland_HongKong,Hong Kong,84 ,73 ,97 ,71.0,39.0,94.0
31,disneyland,1,23319,611304998,4,2017-9,Hong Kong,Disneyland_HongKong,Hong Kong,86 ,79 ,95 ,73.0,38.0,94.0
32,disneyland,1,23319,608250678,5,2018-7,United Arab Emirates,Disneyland_HongKong,Hong Kong,86 ,79 ,95 ,74.0,47.0,94.0
33,disneyland,1,23319,600832139,3,2018-7,France,Disneyland_HongKong,Hong Kong,86 ,79 ,95 ,74.0,47.0,94.0
34,disneyland,1,23319,600565694,4,2018-7,New Zealand,Disneyland_HongKong,Hong Kong,86 ,79 ,95 ,74.0,47.0,94.0
35,disneyland,1,23319,597807224,3,2018-7,Australia,Disneyland_HongKong,Hong Kong,86 ,79 ,95 ,74.0,47.0,94.0
36,disneyland,1,23319,594699390,3,2018-7,Australia,Disneyland_HongKong,Hong Kong,86 ,79 ,95 ,74.0,47.0,94.0
37,disneyland,1,23319,591857578,3,2017-7,India,Disneyland_HongKong,Hong Kong,86 ,77 ,99 ,75.0,42.0,94.0
